Cs2CdP2O7 mp-1195999
Gd2Ge(BO4)2 mp-1196136
UI2O9 mp-1196432
H8C2SBrNO mp-1196575
Mg3B2SO14 mp-1196808
CaU2V2O17 mp-1196876
AlP2H18(C2Cl)3 mp-1197086
Nd2Ge(BO4)2 mp-1197137
UC4O7 mp-1197307
GaN2OF5 mp-1197441
SrMo4H4O15 mp-1197507
Os2C3 mp-1197685
Pt2Cl8O7 mp-1197699
Sm2ZrSe5 mp-1198078
Ti5Ge4 mp-1198692
AsS4N3 mp-1199658
Si5H6C4(NCl5)2 mp-1199804
CdH2C4(S3N2)2 mp-1199936
Ba8Si6Sn mp-1200444
Na3NbHO2F7 mp-1200790
Si5H42(C7N)2 mp-1201090
BPBr6 mp-1201622
TiO2 mp-1201727
FeC3NCl3O2 mp-1202060
Rb2PtBr4O mp-1202208
HgH4C2S2(N3Cl)2 mp-1202516
K3RhCl6O mp-1202599
B2H26C8N20Cl2O mp-1204048
OsXe2O3F14 mp-1204135
MoCl2O3 mp-1204581
K2Fe2P2O7F2 mp-1205435
