LiTl3(MoO4)2 mp-556157
La4FeSe6O mp-556875
Eu4Br6O mp-559031
CuCSN mp-559044
La4S3NCl3 mp-559256
Nd4S3NCl3 mp-559514
ZnS mp-560588
ZnS mp-560725
BaCaSiO4 mp-561050
ZnS mp-561118
ZnS mp-561196
Co3Bi(CO)9 mp-562048
BaYbCo4O7 mp-562270
Sc(AlC)3 mp-568400
Mn2H30C9N3Cl7 mp-568698
Al7(CN)3 mp-569102
CdI2 mp-569994
Hg3AsSe4I mp-570084
La23Mg4Rh7 mp-570297
NbCo3 mp-570557
LaFe5H7 mp-570943
Th7Ru3 mp-573601
Ca5Pb3 mp-574272
Cu4H3C2N5 mp-601817
CsCrCl3 mp-610955
FeS mp-616476
Al5HO8 mp-626161
CaHClO mp-642725
TmAgSn mp-6917
ScSnAu mp-6919
CaZnSO mp-7204
Cs3B6H12Se4Br mp-740711
Li2MnNb3O8 mp-752436
Mn4OF6 mp-754215
FeO mp-754765
Ba4OF6 mp-755009
Na6BeO4 mp-755546
Ca4I6O mp-755949
Li2V3SbO8 mp-756067
MnCo3O8 mp-757029
Al12PbO19 mp-757333
Li2VCo3O8 mp-757835
Li2Co3SbO8 mp-757930
SiH8(NF3)2 mp-759722
Li3VFe3O8 mp-760316
Li5VCr3O8 mp-760333
Li2Cr3NiO8 mp-772613
Li2Fe3SnO8 mp-773163
Mn3CoO8 mp-773167
Cr3WO8 mp-773181
Mn3SbO8 mp-774654
Li2Ti3FeO8 mp-775874
Na6NiO4 mp-779898
PtO2 mp-7868
LiGaGe mp-7874
NaBe4SbO7 mp-8075
SrGa12O19 mp-863423
PmH mp-863656
AlAs mp-8881
LuGeAu mp-9351
ReBr mp-974474
BAs mp-984718
Mg2Ti3O8 mvc-7568
Zn2Sn3O8 mvc-7701
Ca2Ti3O8 mvc-7709
Mg2Fe3O8 mvc-7951
Mg2W3O8 mvc-7980
Zn2Fe3O8 mvc-8049
Zn2In2O5 mp-1094040
LiAl2H6BrO6 mp-1097038
Ta2Ni mp-1101992
Zr5Sb3As mp-1105693
Er5Ge3C mp-1105712
Dy5Ge3 mp-1105737
Nb5Ge3B mp-1105818
Hf5CuSb3 mp-1105851
La5Bi3 mp-1105962
Eu5As3 mp-1106024
La5AgPb3 mp-1106117
Nd5Pb3 mp-1106152
Zr5AlSb3 mp-1106245
Gd5Pb3 mp-1106250
Th5Pb4 mp-1106365
Yb5Ge3 mp-11595
LiTb5Sn3 mp-1180557
Ho5Tl3 mp-1181055
Zr5CuBi3 mp-1188159
Zr5CuSb3 mp-1188208
La5PPb3 mp-1188357
Ho5In3 mp-1188417
Y5Tl3 mp-1188434
Nd5Ge3C mp-1188470
La5CoPb3 mp-1188521
Tm5Ga3 mp-1188658
Yb5Si3C mp-1188984
Y5Si3H mp-1189066
Zr5TePb3 mp-1189342
Zr5Sn3S mp-1189510
Nd5CuBi3 mp-1189755
Tb5Bi3 mp-1189848
Ta5Ge3B mp-1189895
Nb5Si3P mp-1190041
Tb5Ge3B mp-1190063
Zr5In3Ag mp-1190397
Lu8In3Co mp-1190756
WO3 mp-1191364
U3VSb5 mp-1205406
Zr5Al3N mp-1207406
Ta5Al3C mp-1208344
Ti5FeSn3 mp-1208517
Pr3TiSb5 mp-1209653
Nb5Si3N mp-1209941
Nb6Al11Ir mp-1210041
Nd23Cd4Pt7 mp-1210477
Lu5CuPb3 mp-1210658
La5SbPb3 mp-1211529
La5CuGe3 mp-1211768
Ho5CuPb3 mp-1212275
Ce3NbSb5 mp-1213895
Zr3Ti2Si3 mp-1215386
Ti3V2Si3 mp-1217138
La2(ErGe)3 mp-1223328
Ba3TmIrRuO9 mp-1227963
KGeN mp-1245592
NaCaN mp-1245645
