Ba2YCl7 mp-755104
Sn2P2O7 mp-755619
NiP2(H8O5)2 mp-758219
Li2VP3O10 mp-758361
H8C2BrN mp-758655
RbLiF2 mp-7593
Li2V4P4O15 mp-765082
LiMn2F5 mp-765284
Li2Sn4P4O15 mp-765351
Y2TeO6 mp-768519
YAl3O6 mp-768572
Li2Cr2(SO4)3 mp-770383
Li2Nb4O11 mp-772073
Li6Hf2O7 mp-772185
BaCa2I6 mp-773900
Hf2N2O mp-776220
NiH18(IN)6 mp-781901
LiVF4 mp-849734
TlInS2 mp-865274
Yb3GeO mp-865834
K2Sn2S5 mp-8965
Na2P2PdO7 mp-8989
TiPN3 mp-989624
LiVP2(HO4)2 mp-997534
MgFe(PO3)4 mvc-2206
Fe(PO3)4 mvc-2213
Ta2Zn2CrO8 mvc-2652
Sn(GeO3)2 mvc-8086
Ge2WO6 mvc-8381
SbPO4 mvc-9505
Ba3Ca2(SiN3)2 mp-1019520
Ce4B14O27 mp-1019597
NaMn3O6 mp-1080210
CeSe2 mp-1080277
CrN2 mp-1096907
SrCaI4 mp-1101345
Sn2P2O7 mp-1101386
U2Si5Os3 mp-1105580
NaFeSO4F mp-1105952
Si2WO6 mp-1143521
MoP4 mp-11508
LiFe2O2F3 mp-1176751
Li3MnV(PO4)3 mp-1177604
Li2Mn2P2(H4O5)3 mp-1177931
BaSr2I6 mp-1178509
BaLaCl5 mp-1178523
SrO6 mp-1179143
SiH12N2(O2F3)2 mp-1179548
NaCu(IO2)2 mp-1179909
Li2OsO6 mp-1188979
TlInHgS3 mp-1190524
CaPBrO8 mp-1192222
SbH5(Cl3O)2 mp-1192718
MnTlOF4 mp-1192864
Mn3V3(AgO6)2 mp-1194640
H3CSNOF2 mp-1195326
Tl5Ag3(PS3)4 mp-1195546
Dy4B4O11F2 mp-1196433
AgH12C4S2N5O3 mp-1196463
Pr2S3O20 mp-1196468
CaSb4H6(SO8)2 mp-1196948
HoAl3(H3C)12 mp-1197331
